Year_Built,Propnum,Address,Long,Lat
1860,2029588,"301 Skipton Street, BALLARAT CENTRAL  VIC  3350",143.8497763,-37.57089924
1860,2030705,"Grd Floor 13 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8600361,-37.56269589
1860,2030706,"Floor 1/13 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8600361,-37.56269589
1860,2030734,"113 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8584526,-37.56252239
1860,2030735,"Floor 1/117 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8584526,-37.56252239
1860,2030736,"115 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8584526,-37.56252239
1860,2015333,"708 Howard Street, SOLDIERS HILL  VIC  3350",143.8536809,-37.54550367
1860,2015339,"608 Howard Street, SOLDIERS HILL  VIC  3350",143.8551719,-37.54568621
1860,2028986,"14 Seymour Crescent, SOLDIERS HILL  VIC  3350",143.8627042,-37.55514159
1860,2016037,"508 Humffray Street South, GOLDEN POINT  VIC  3350",143.8594341,-37.56863876
1860,2016057,"318 Humffray Street South, GOLDEN POINT  VIC  3350",143.8622561,-37.56661341
1860,2029577,"101 Skipton Street, BALLARAT CENTRAL  VIC  3350",143.8531402,-37.56883057
1860,2031238,"204-206 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8571736,-37.56154935
1860,2031245,"46 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8593728,-37.5617231
1860,2031250,"44 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8593728,-37.5617231
1860,2031255,"42 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8593728,-37.5617231
1860,2031258,"34 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8596443,-37.5617391
1860,2031667,"417 Talbot Street South, BALLARAT CENTRAL  VIC  3350",143.8415781,-37.57015109
1860,2031199,"428 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8539283,-37.56106656
1860,2031204,"424 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8541028,-37.56108716
1860,2031218,"318 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8554654,-37.56126364
1860,2031234,"208 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8570527,-37.56135943
1860,2031236,"206A Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8571736,-37.56154935
1860,2032356,"502 Tress Street, GOLDEN POINT  VIC  3350",143.8640222,-37.57124413
1860,2031183,"614 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8512728,-37.560764
1860,2031186,"610 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8514023,-37.56077434
1860,2031187,"608 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.851518,-37.56078549
1860,2031188,"Floor 1/608A Sturt Street, BALLARAT CENTRAL  VIC  3350",143.851518,-37.56078549
1860,2031189,"606 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8515844,-37.56079362
1860,2039913,"1/404-406 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8546201,-37.56116695
1860,2041413,"Above 424 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8541028,-37.56108716
1860,2012722,"406 Grant Street, GOLDEN POINT  VIC  3350",143.8639927,-37.5706273
1860,2012723,"404 Grant Street, GOLDEN POINT  VIC  3350",143.8639039,-37.57057637
1860,2013358,"506 Gregory Street, SOLDIERS HILL  VIC  3350",143.8567237,-37.5446946
1860,2044539,"Basement 60 Lydiard Street North, BALLARAT CENTRAL  VIC  3350",143.8584586,-37.55998825
1860,2039407,"2/200 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8575086,-37.56158881
1860,2039408,"202A Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8575086,-37.56158881
1860,2039409,"202B Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8573433,-37.56157775
1860,2039410,"202C Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8572952,-37.56157245
1860,2039411,"202D Sturt Street, BALLARAT CENTRAL  VIC  3350",143.857247,-37.5615776
1860,2039512,"3/11 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8601229,-37.56270611
1860,2037985,"185 Findlays Road, LEARMONTH  VIC  3352",143.6881376,-37.41250781
1860,2038034,"326A High Street, LEARMONTH  VIC  3352",143.7177857,-37.42253638
1860,2009995,"132 Eureka Street, BALLARAT EAST  VIC  3350",143.8725357,-37.5661133
1860,2009998,"126 Eureka Street, BALLARAT EAST  VIC  3350",143.8718253,-37.56630386
1860,2010406,"6 Fawkner Street, BALLARAT CENTRAL  VIC  3350",143.8508874,-37.57228235
1860,2039406,"1/200 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8575086,-37.56158881
1860,2037936,"173B Addington Road, MOUNT BOLTON  VIC  3352",143.698469,-37.38119288
1860,2009298,"2 Elm Road, GOLDEN POINT  VIC  3350",143.8641737,-37.57109684
1860,2009735,"111 Eureka Street, BALLARAT EAST  VIC  3350",143.8700336,-37.56631798
1860,2009737,"115 Eureka Street, BALLARAT EAST  VIC  3350",143.8705253,-37.56602898
1860,2037950,"2 Troups Road, COGHILLS CREEK  VIC  3364",143.7639832,-37.39158916
1860,2037951,"921 Coghills Creek Road, COGHILLS CREEK  VIC  3364",143.7517802,-37.37959774
1860,2007939,"510 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8574186,-37.55004726
1860,2007951,"316 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8566541,-37.55338624
1860,2037402,"90 Whitehands Road, WEATHERBOARD  VIC  3352",143.6904265,-37.43106123
1860,2037413,"61 Whitehands Road, LEARMONTH  VIC  3352",143.694489,-37.42955342
1860,2037417,"407 Avenue Road, WEATHERBOARD  VIC  3352",143.6809057,-37.43764393
1860,2037902,"395 Lesters Road, ASCOT  VIC  3364",143.7846574,-37.37555313
1860,2007779,"605 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8568815,-37.54795881
1860,2007784,"615 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8569989,-37.54732769
1860,2007785,"617 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8570165,-37.5472303
1860,2007792,"625 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8572624,-37.54668188
1860,2007799,"711 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8574745,-37.54551838
1860,2007934,"520 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8575019,-37.54960054
1860,2006961,"903 Dana Street, BALLARAT CENTRAL  VIC  3350",143.8464867,-37.56322692
1860,2007071,"206 Dana Street, BALLARAT CENTRAL  VIC  3350",143.8568117,-37.56379558
